アーティスト	アーティスト(ソート用)	曲名	最近の歌唱
androp	androp	Yeah! Yeah! Yeah!	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=3395
chizono feat.FlowerR	chizono feat.FlowerR	グッバイ宣言	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=2111
cosMo(暴走P) feat.初音ミク	cosMo(ぼうそうP) feat.はつねみく	初音ミクの消失 -DEAD END-	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=4039
fhána	fhána	青空のラプソディ	https://www.youtube.com/live/GvGh24EJfGg?si=QLYBryRLPz4v_Qdl&t=6054
flumpool	flumpool	星に願いを	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=3401
fripSide	fripSide	only my railgun	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=1340
halyosy feat.鏡音レン	halyosy feat.かがみねれん	Fire◎Flower	https://www.youtube.com/live/Dm-WC5w7K8Y?si=Pph-3uJ8wVrF5vc0&t=1969
kanaria.GUMI	kanaria.GUMI	酔いどれ知らず	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=4500
kemu feat.GUMI&鏡音リン	kemu feat.GUMI&かがみねりん	インビジブル	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=2410
kemu feat.IA	kemu feat.IA	六兆年と一夜物語	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=2689
koyori(電ポルP) feat.初音ミク	koyori(でんぽるP) feat.はつねみく	独りんぼエンヴィー	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=3917
lslet feat.倚水	lslet feat.いみず	可惜夜	https://www.youtube.com/live/b0qPGU0sZn4?si=C5mabzVl6bhK7mp0&t=5650
lslet feat.倚水	lslet feat.いみず	春を待つ	https://www.youtube.com/live/b0qPGU0sZn4?si=C5mabzVl6bhK7mp0&t=3518
lslet feat.倚水	lslet feat.いみず	白日夢	https://www.youtube.com/live/b0qPGU0sZn4?si=C5mabzVl6bhK7mp0&t=6187
lslet feat.倚水(tayori)	lslet feat.いみず(tayori)	可惜夜	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=865
miwa	miwa	ヒカリヘ	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=2513
n-buna(ヨルシカ) feat.初音ミク	n-buna(よるしか) feat.はつねみく	夜明けと蛍	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=337
nobodyknows+	nobodyknows+	ココロオドル	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=13769
phatmans after school	phatmans after school	ツキヨミ	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=744
ryo feat.chelly	ryo feat.chelly	Great distance	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=3519
ryo feat.初音ミク	ryo feat.はつねみく	ワールドイズマイン	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=6401
ryo(supercell) feat.初音ミク	ryo(supercell) feat.はつねみく	メルト	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=5717
supercell	supercell	Love&Roll	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=3080
supercell	supercell	My Dearest	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=4353
supercell	supercell	Perfect Day	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=2455
supercell	supercell	The Bravery	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=6386
supercell	supercell	うたかた花火	https://www.youtube.com/live/r7Bwk1jHwnc?si=YSwS6uQI_0X3Y91g&t=1134
supercell	supercell	さよならメモリーズ	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=5165
supercell	supercell	ヒーロー	https://www.youtube.com/live/Us_EP0LuOUI?si=QKfLbi9NsZLi9sIi&t=5449
supercell	supercell	リルモア	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=1990
supercell	supercell	君の知らない物語	https://www.youtube.com/live/r7Bwk1jHwnc?si=YSwS6uQI_0X3Y91g&t=1861
supercell	supercell	星が瞬くこんな夜に	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=11118
supercell	supercell	銀色飛行船	https://www.youtube.com/live/r7Bwk1jHwnc?si=YSwS6uQI_0X3Y91g&t=2367
tayori	tayori	雪解け	https://www.youtube.com/live/FGNU1iQLiNM?si=B75Oqj0tjRBiyl5j&t=4217
the peggies	the peggies	君のせい	https://www.youtube.com/live/bXG5ottJZas?si=VsjzjU8RreUrJGd3&t=1600
tuki.	tuki.	晩餐歌	https://www.youtube.com/live/T2z_BAhLZz0?si=FZhoxASjxucX4Rxr&t=272
vaundy	vaundy	東京フラッシュ	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=3802
vaundy	vaundy	花占い	https://www.youtube.com/live/hkpPXWM6LDY?si=pgl-HW7-u6yZjLAi&t=4108
yama	yama	春を告げる	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=8729
μ‘s(ラブライブ!)	μ‘s(らぶらいぶ!)	Snow halation	https://www.youtube.com/live/orkAkFl798M?si=7tK-YB5J1dGoAFWq&t=2675
藍井エイル	あいいえいる	ラピスラズリ	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=6546
あいみょん	あいみょん	ハルノヒ	https://www.youtube.com/live/Z1v3sT_d6uU?si=epz4SGbUtnFLtw2-&t=300
あいみょん	あいみょん	マリーゴールド	https://www.youtube.com/live/lQQh4G5up3Y?si=U2BJIBIs-2OZdL6R&t=1674
あいみょん	あいみょん	今夜このまま	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=3087
赤い公園	あかいこうえん	サイダー	https://www.youtube.com/live/b0qPGU0sZn4?si=C5mabzVl6bhK7mp0&t=4870
あきよしふみえ	あきよしふみえ	Together	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=1728
阿部真央	あべまお	ストーカーの唄～3丁目、貴方の家～	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=4610
阿部真央	あべまお	ロンリー	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=5351
阿部真央	あべまお	側にいて	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=5254
阿部真央	あべまお	未だ	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=4430
阿部真央	あべまお	貴方の恋人になりたいのです	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=4774
絢香	あやか	はじまりのとき	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=6670
絢香	あやか	三日月	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=6324
荒井由実(松任谷由実)	あらいゆみ(まつとうやゆみ)	ルージュの伝言	https://www.youtube.com/live/Us_EP0LuOUI?si=QKfLbi9NsZLi9sIi&t=3456
嵐	あらし	Love so sweet	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=4966
嵐	あらし	Monster	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=3995
嵐	あらし	Troublemaker	https://www.youtube.com/live/orkAkFl798M?si=7tK-YB5J1dGoAFWq&t=3456
嵐	あらし	truth	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=4366
嵐	あらし	サクラ咲ケ	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=3686
家入レオ	いえにゅうれお	サブリナ	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=8052
いきものがかり	いきものがかり	じょいふる	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=1636
いきものがかり	いきものがかり	ブルーバード	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=1895
いきものがかり	いきものがかり	気まぐれロマンティック	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=5372
いよわ feat.可不	いよわ feat.かふ	きゅうくらりん	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=4050
梅とら feat. 巡音ルカ&初音ミク&GUMI&IA&鏡音リン	うめとら feat. じゅんおとるか&はつねみく&GUMI&IA&かがみねりん	威風堂々	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=9000
梅とら feat. 巡音ルカ&初音ミク&GUMI&IA&鏡音リン	うめとら feat. じゅんおとるか&はつねみく&GUMI&IA&かがみねりん	疑心暗鬼	https://www.youtube.com/live/Us_EP0LuOUI?si=QKfLbi9NsZLi9sIi&t=4517
梅とら feat. 巡音ルカ&初音ミク&GUMI&IA&鏡音リン	うめとら feat. じゅんおとるか&はつねみく&GUMI&IA&かがみねりん	虎視眈々	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=8664
エミリア(高橋李依)	えみりあ(たかはしすももい)	Stay Alive	https://www.youtube.com/live/wY3z5W9B8N0?si=FVqBjyoCdmcOKFxz&t=4314
大塚愛	おおつかあい	プラネタリウム	https://www.youtube.com/live/6wh0qjbo6K4?si=vntI9mYE52ZplV6U&t=455
奥華子	おくはなこ	変わらないもの	https://www.youtube.com/live/B1g4NIZAKqo?si=v8CWAz6GBo-vVIKK&t=2051
角田信朗＆いはたじゅり	かくだのぶお＆いはたじゅり	ケロッ!とマーチ	https://www.youtube.com/live/wY3z5W9B8N0?si=FVqBjyoCdmcOKFxz&t=5226
幽音しの	かすかねしの	From now on	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=3555
幽音しの	かすかねしの	かすかなおと	https://www.youtube.com/live/zHPmNlzplRQ?si=hKbKp_wLxXmd13Kq&t=609
幽音しの(即興)	かすかねしの(そっきょう)	これからもよろしくソング	https://www.youtube.com/live/9eMVaPOXvzM?si=jhgkuY6UKcne9MmF&t=2955
幽音しの(即興)	かすかねしの(そっきょう)	しのが寝る6時	https://www.youtube.com/live/rjOy6A4c68o?si=Q07K-470tlYbzNHk&t=3450
幽音しの(即興)	かすかねしの(そっきょう)	しのぴ即興ソング	https://www.youtube.com/live/N0Tp3auhZ54?si=TUAMJQ8TqFkAVZ1r&t=6749
幽音しの(即興)	かすかねしの(そっきょう)	ちょっと待ってねの歌	https://www.youtube.com/live/7l8RLTKBC8E?si=4WR3af3ZrVMWAe9X&t=4419
幽音しの(即興)	かすかねしの(そっきょう)	ねむねむの歌	https://www.youtube.com/live/7l8RLTKBC8E?si=4WR3af3ZrVMWAe9X&t=4208
幽音しの(即興)	かすかねしの(そっきょう)	やめるやめる詐欺	https://www.youtube.com/live/BIOCmyo4mQU?si=mUE7u0kM5d94T-4A&t=3663
幽音しの(即興)	かすかねしの(そっきょう)	エモさはいつもしののそばに	https://www.youtube.com/live/Z1v3sT_d6uU?si=epz4SGbUtnFLtw2-&t=3130
幽音しの(即興)	かすかねしの(そっきょう)	カウントダウン前にバースデーソング作る	https://www.youtube.com/live/qTRoniWqYUs?si=tZabM9W3dUpT3w7w&t=4383
幽音しの(即興)	かすかねしの(そっきょう)	キャベツとレタスのうた	https://www.youtube.com/live/JdIhEjDJiNU?si=deUnozJNoBNUwf--&t=1191
幽音しの(即興)	かすかねしの(そっきょう)	チルになりたい	https://www.youtube.com/live/Us_EP0LuOUI?si=QKfLbi9NsZLi9sIi&t=5930
幽音しの(即興)	かすかねしの(そっきょう)	ワロタ＆明日の宣伝の歌	https://www.youtube.com/live/Us_EP0LuOUI?si=QKfLbi9NsZLi9sIi&t=6908
幽音しの(即興)	かすかねしの(そっきょう)	今食べたいもの	https://www.youtube.com/live/T2z_BAhLZz0?si=FZhoxASjxucX4Rxr&t=4621
幽音しの(即興)	かすかねしの(そっきょう)	初配信兼入浴の歌	https://www.youtube.com/live/rPoEadXC5ck?si=PyjsfpuwHgwH2fjV&t=1605
幽音しの(即興)	かすかねしの(そっきょう)	即興ソング	https://www.youtube.com/live/gPoOwdHJsS0?si=m0w1THhhEjbjOfbt&t=9708
幽音しの(即興)	かすかねしの(そっきょう)	多分チル2の歌	https://www.youtube.com/live/wEZHgaS4eCg?si=_Rpt2MlexrsFC7dZ&t=5795
幽音しの(即興)	かすかねしの(そっきょう)	忘れろの歌	https://www.youtube.com/live/lrLQ6akH23w?si=aC5HLJK6UZYwu-Yn&t=6040
幽音しの(即興)	かすかねしの(そっきょう)	鼓膜の歌	https://www.youtube.com/live/qX9bxWpkH6E?si=OkODsP1XDKgR0qeY&t=2903
神田沙也加&松たか子	かんださやか&まつたかこ	生まれてはじめて	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=14425
キタニタツヤ	きたにたつや	ずうっといっしょ！	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=6064
キタニタツヤ	きたにたつや	青のすみか	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=6383
きのこ帝国	きのこていこく	東京	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=3599
きのこ帝国	きのこていこく	金木犀の夜	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=3270
木村弓	きむらゆみ	いつも何度でも	https://www.youtube.com/live/qX9bxWpkH6E?si=OkODsP1XDKgR0qeY&t=5751
木村弓	きむらゆみ	いのちの名前	https://www.youtube.com/live/N0Tp3auhZ54?si=TUAMJQ8TqFkAVZ1r&t=6096
クリープハイプ	くりーぷはいぷ	おやすみ、泣き声 さよなら歌姫	https://www.youtube.com/live/Cs48limSzrE?si=n8CFockH4OVXGSvE&t=4957
クリープハイプ	くりーぷはいぷ	エロ	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=6520
クリープハイプ	くりーぷはいぷ	憂、燦々	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=7224
クリープハイプ	くりーぷはいぷ	栞	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=347
クリープハイプ	くりーぷはいぷ	社会の窓	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=6174
クリープハイプ	くりーぷはいぷ	鬼	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=6792
黒うさ feat.初音ミク	くろうさ feat.はつねみく	千本桜	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=13491
結束バンド	けっそくばんど	ギターと孤独と蒼い惑星	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=5522
結束バンド	けっそくばんど	フラッシュバッカー	https://www.youtube.com/live/Z1v3sT_d6uU?si=epz4SGbUtnFLtw2-&t=5887
結束バンド	けっそくばんど	忘れてやらない	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=4740
結束バンド	けっそくばんど	星座になれたら	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=1027
結束バンド	けっそくばんど	青春コンプレックス	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=565
コブクロ	こぶくろ	蕾	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=4812
こんにちは谷田さん(キタニタツヤ) feat.初音ミク	こんにちはたにたさん(きたにたつや) feat.はつねみく	記憶の水槽	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=5647
サカナクション	さかなくしょん	ミュージック	https://www.youtube.com/live/Cs48limSzrE?si=n8CFockH4OVXGSvE&t=5540
サカナクション	さかなくしょん	新宝島	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=6156
サクナクション	さくなくしょん	グッドバイ	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=1308
ささくれ。P feat.初音ミク	ささくれ。P feat.はつねみく	ハロー、プラネット。	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=7800
さユり	さゆり	フラレガイガール	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=3427
さユり	さゆり	ミカヅキ	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=2880
さユリ	さゆり	ミカヅキ	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=4005
さユり	さゆり	平行線	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=3349
さユり	さゆり	花の塔	https://www.youtube.com/live/8yfLYQayxQg?si=O0Q0AXQXC39nd7WJ&t=8628
三月のパンタシア	さんがつのぱんたしあ	ピンクレモネード	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=5970
椎名もた feat.初音ミク	しいなもた feat.はつねみく	少女A	https://www.youtube.com/live/OYaf_O-6WRs?si=20Zo4VVa8PxJbw_X&t=787
椎名林檎	しいなりんご	丸の内サディスティック	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=14800
シェリル・ノーム starring May'n	しぇりる・のーむ starring May'n	ダイアモンドクレバス	https://www.youtube.com/live/GvGh24EJfGg?si=QLYBryRLPz4v_Qdl&t=10341
シェリル・ノーム starring May'n	しぇりる・のーむ starring May'n	ノーザンクロス	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=2012
シェリル・ノーム starring May'n	しぇりる・のーむ starring May'n	射手座☆午後九時Don't be late	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=1113
シェリル・ノーム starring May'n&ランカ・リー(CV.中島愛)	しぇりる・のーむ starring May'n&らんか・りー(CV.なかじまあい)	ライオン	https://www.youtube.com/live/NkjXzUMUZpw?si=EmGBj6Hh6tIlwjGQ&t=892
獅子志司 feat.初音ミク	ししこころざしつかさ feat.はつねみく	絶え間なく藍色	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=5543
紫水キキ	しすいきき	パペットパーティ	https://www.youtube.com/live/zHPmNlzplRQ?si=hKbKp_wLxXmd13Kq&t=2589
シナリオアート	しなりおあーと	ナナヒツジ	https://www.youtube.com/live/cHLqE4AOOjI?si=heDnYTUAoUpLyQ_J&t=2432
少女時代	しょうじょじだい	Gee	https://www.youtube.com/live/orkAkFl798M?si=7tK-YB5J1dGoAFWq&t=1266
ジミーサムP feat.巡音ルカ	じみーさむP feat.じゅんおとるか	No Logic	https://www.youtube.com/live/bXG5ottJZas?si=VsjzjU8RreUrJGd3&t=3639
ジミーサムP feat.初音ミク	じみーさむP feat.はつねみく	Calc.	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=3632
ジミーサムP feat.初音ミク＆巡音ルカ(コーラス)	じみーさむP feat.はつねみく＆じゅんおとるか(こーらす)	from Y to Y	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=5437
じん feat.IA	じん feat.IA	オツキミリサイタル	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=780
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	アウターサイエンス	https://www.youtube.com/live/Dm-WC5w7K8Y?si=Pph-3uJ8wVrF5vc0&t=3257
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	サマータイムレコード	https://www.youtube.com/live/E8l1nOoKLLI?si=9GMtlAOzsgHxbniX&t=6981
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	チルドレンレコード	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=1047
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	ロスタイムメモリー	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=1297
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	ワールド・コーリング	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=3309
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	夜咄ディセイブ	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=3734
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	少年ブレイヴ	https://www.youtube.com/live/8yfLYQayxQg?si=O0Q0AXQXC39nd7WJ&t=6523
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	想像フォレスト	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=1195
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	空想フォレスト	https://www.youtube.com/live/E8l1nOoKLLI?si=9GMtlAOzsgHxbniX&t=6686
じん(自然の敵P) feat.IA	じん(しぜんのてきP) feat.IA	透明アンサー	https://www.youtube.com/live/i7euCqiwzl4?si=Gvd-dBAI4nZ9HDpv&t=1145
じん(自然の敵P) feat.初音ミク	じん(しぜんのてきP) feat.はつねみく	カゲロウデイズ	https://www.youtube.com/live/Dm-WC5w7K8Y?si=Pph-3uJ8wVrF5vc0&t=2835
じん(自然の敵P) feat.メイリア	じん(しぜんのてきP) feat.めいりあ	daze	https://www.youtube.com/live/GvGh24EJfGg?si=QLYBryRLPz4v_Qdl&t=6966
じーざすP（WONDERFUL★OPPORTUNITY!） feat.鏡音リン&鏡音レン	じーざすP（WONDERFUL★OPPORTUNITY!） feat.かがみねりん&かがみねれん	しんでしまうとはなさけない!	https://www.youtube.com/live/bXG5ottJZas?si=VsjzjU8RreUrJGd3&t=3241
スキマスイッチ	すきますいっち	ゴールデンタイムラバー	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=241
スキマスイッチ	すきますいっち	全力少年	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=614
スキマスイッチ	すきますいっち	奏	https://www.youtube.com/live/B1g4NIZAKqo?si=v8CWAz6GBo-vVIKK&t=1623
すこっぷ feat.初音ミク	すこっぷ feat.はつねみく	アイロニ	https://www.youtube.com/live/hkpPXWM6LDY?si=pgl-HW7-u6yZjLAi&t=3821
鈴木このみ	すずきこのみ	This game	https://www.youtube.com/live/wY3z5W9B8N0?si=FVqBjyoCdmcOKFxz&t=3830
涼宮ハルヒ(CV.平野綾)	すずみやはるひ(CV.へいやあや)	God knows…	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=9418
涼宮ハルヒ(CV.平野綾)&長門有希(CV.茅原実里)&朝比奈みくる(CV.後藤邑子)	すずみやはるひ(CV.へいやあや)&ながとゆうき(CV.かやはらみさと)&あさひなみくる(CV.ごとうむらこ)	ハレ晴レユカイ(1phrase)	https://www.youtube.com/live/8yfLYQayxQg?si=O0Q0AXQXC39nd7WJ&t=8467
スズム feat.GUMI	すずむ feat.GUMI	世界寿命と最後の一日	https://www.youtube.com/live/bXG5ottJZas?si=VsjzjU8RreUrJGd3&t=4821
スピッツ	すぴっつ	チェリー	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=2745
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	Dear Mr 「F」	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=2532
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	Ham	https://www.youtube.com/live/TDYlHpN4h0s?si=ysSy7YIPSXU6T0nx&t=2160
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	MILABO	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=2519
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	サターン	https://www.youtube.com/live/ac4RYGdoGfw?si=XYuojmcqpJZOLb9x&t=761
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	ヒューマノイド	https://www.youtube.com/live/ac4RYGdoGfw?si=XYuojmcqpJZOLb9x&t=1612
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	低血ボルト	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=3438
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	勘冴えて悔しいわ	https://www.youtube.com/live/E8l1nOoKLLI?si=9GMtlAOzsgHxbniX&t=2888
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	正しくなれない	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=2976
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	秒針を噛む	https://www.youtube.com/live/ac4RYGdoGfw?si=XYuojmcqpJZOLb9x&t=374
ずっと真夜中でいいのに。	ずっとまよなかでいいのに。	脳裏上のクラッカー	https://www.youtube.com/live/E8l1nOoKLLI?si=9GMtlAOzsgHxbniX&t=2531
セブンスシスターズ	せぶんすしすたーず	SEVENTH HAVEN	https://www.youtube.com/live/orkAkFl798M?si=7tK-YB5J1dGoAFWq&t=3799
宗谷いちか	そうやいちか	君と未来	https://www.youtube.com/live/zHPmNlzplRQ?si=hKbKp_wLxXmd13Kq&t=3138
高橋洋子	たかはしようこ	残酷な天使のテーゼ	https://www.youtube.com/live/wEZHgaS4eCg?si=_Rpt2MlexrsFC7dZ&t=5405
チト(水瀬いのり)、ユーリ(久保ユリカ)	ちと(みなせいのり)、ゆーり(くぼゆりか)	動く、動く	https://www.youtube.com/live/wY3z5W9B8N0?si=FVqBjyoCdmcOKFxz&t=2799
茅原実里	ちはらみのり	境界の彼方	https://www.youtube.com/live/wEZHgaS4eCg?si=_Rpt2MlexrsFC7dZ&t=3276
チャットモンチー	ちゃっともんちー	染まるよ	https://www.youtube.com/live/N0Tp3auhZ54?si=TUAMJQ8TqFkAVZ1r&t=4605
チャットモンチー	ちゃっともんちー	真夜中遊園地	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=1821
チャットモンチー	ちゃっともんちー	風吹けば恋	https://www.youtube.com/live/5-PHEYq6a-Y?si=i1qN4inKhZc0prZ-&t=2105
チャットモンチー(レキシ)	ちゃっともんちー(れきし)	SHIKIBU feat. 阿波の踊り子	https://www.youtube.com/live/rowkHJneOgY?si=dzvDO_qNHD4fLHMQ&t=2240
蝶々P feat.GUMI	ちょうちょうP feat.GUMI	心做し	https://www.youtube.com/live/B1g4NIZAKqo?si=v8CWAz6GBo-vVIKK&t=2561
蝶々P feat.初音ミク	ちょうちょうP feat.はつねみく	え？あぁ、そう。	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=10011
ツミキ feat.可不	つみき feat.かふ	フォニイ	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=1759
