アーティスト	アーティスト(ソート用)	曲名	最近の歌唱
DECO*27 feat.GUMI	DECO*27 feat.GUMI	弱虫モンブラン	https://www.youtube.com/live/gtzKshYmOXY?si=1Gz8lwbOe32zbbqo&t=3785
DECO*27 feat.初音ミク	DECO*27 feat.はつねみく	ゴーストルール	https://www.youtube.com/live/EIV2fME4Fec?si=lkzDtJEJ9agzd2Md&t=5460
DECO*27 feat.初音ミク	DECO*27 feat.はつねみく	ストリーミングハート	https://www.youtube.com/live/E8l1nOoKLLI?si=9GMtlAOzsgHxbniX&t=604
DECO*27 feat.初音ミク	DECO*27 feat.はつねみく	ライアーダンス	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=676
DECO*27 feat.初音ミク	DECO*27 feat.はつねみく	リバーシブル・キャンペーン	https://www.youtube.com/live/AHfCHGope8I?si=qrXuqYy-tTqldtt4&t=343
DECO*27 feat.初音ミク	DECO*27 feat.はつねみく	妄想感傷代償連盟	https://www.youtube.com/live/B1g4NIZAKqo?si=v8CWAz6GBo-vVIKK&t=3009
DREAMS COME TRUE	DREAMS COME TRUE	何度でも	https://www.youtube.com/live/DX8misWhJuA?si=x9BqkZPlvHen5SCl&t=5654
Dixie Flatline feat.巡音ルカ	Dixie Flatline feat.じゅんおとるか	Just Be Friends	https://www.youtube.com/live/Cs48limSzrE?si=n8CFockH4OVXGSvE&t=1645
EGOIST	EGOIST	All Alone With You	https://www.youtube.com/live/GvGh24EJfGg?si=QLYBryRLPz4v_Qdl&t=1808
EGOIST	EGOIST	Departures 〜あなたにおくるアイの歌〜	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=7781
EGOIST	EGOIST	Fallen	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=2557
EGOIST	EGOIST	Ghost of a smile	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=1533
EGOIST	EGOIST	LoveStruck	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=4618
EGOIST	EGOIST	Planetes	https://www.youtube.com/live/7AO0pzyJtLE?si=5iKHGNjfGH8OxSY8&t=5704
EGOIST	EGOIST	The Everlasting Guilty Crown	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=1134
EGOIST	EGOIST	リローデッド	https://www.youtube.com/live/GvGh24EJfGg?si=QLYBryRLPz4v_Qdl&t=2238
EGOIST	EGOIST	名前のない怪物	https://www.youtube.com/live/FuJDk5I3Oyo?si=KP6eEuJrPYERUqMb&t=2110
EGOIST	EGOIST	雨、キミを連れて	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=2855
Eve	Eve	お気に召すまま	https://www.youtube.com/live/hkpPXWM6LDY?si=pgl-HW7-u6yZjLAi&t=639
Eve feat.初音ミク	Eve feat.はつねみく	お気に召すまま	https://www.youtube.com/live/lQQh4G5up3Y?si=U2BJIBIs-2OZdL6R&t=2210
Eve feat.初音ミク	Eve feat.はつねみく	ナンセンス文学	https://www.youtube.com/live/hkpPXWM6LDY?si=pgl-HW7-u6yZjLAi&t=1365
Flumpool	Flumpool	君に届け	https://www.youtube.com/live/Yti72SsHzxs?si=qlI2gfa0I0wWYoH4&t=5386
GRe4N BOYZ(GReeeeN)	GRe4N BOYZ(GReeeeN)	キセキ	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=6100
GUMI feat.kanaria	GUMI feat.kanaria	KING	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=13209
Galileo Galilei	Galileo Galilei	恋の寿命	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=1686
Galileo Galilei	Galileo Galilei	青い栞	https://www.youtube.com/live/7AO0pzyJtLE?si=5iKHGNjfGH8OxSY8&t=3611
Ghost like girlfriend	Ghost like girlfriend	Othello	https://www.youtube.com/live/YC2XfDeeAQI?si=BpJIi-KScnRHEoFo&t=2724
Girls Dead Monster	Girls Dead Monster	一番の宝物	https://www.youtube.com/live/8yfLYQayxQg?si=O0Q0AXQXC39nd7WJ&t=290
